difference,mdate
10.52720751142,2013-12-03
-8.063435155,2013-12-04
-3.1098940628800005,2013-12-05
-11.12142452028,2013-12-06
2.9000000000000004,2013-11-27
-1.873461521066,2013-12-03
-1.3774812609590001,2013-12-04
-0.538877039413,2013-12-05
0.23406283369400005,2013-12-06
-0.44951951952,2013-11-27
-9.26821610611,2013-12-03
-2.7312700353300006,2013-12-04
-4.14319912088,2013-12-05
0.005937075439999884,2013-12-06
0.52659356725,2013-11-27
-11.52180466143,2013-12-03
-6.765288111489999,2013-12-04
-5.01667789472,2013-12-05
2.3851739989000005,2013-12-06
-1.7950925925900005,2013-11-27
-0.07,2013-12-03
0.19,2013-12-04
-1.13193511308,2013-12-05
0.36,2013-12-06
-0.697594339623,2013-11-27
-0.695984754439,2013-12-03
-0.90966706521,2013-12-04
-1.179215400674,2013-12-05
-0.28093722976900004,2013-12-06
-1.279398284314,2013-11-27
-2.058,2013-12-03
-3.7485735294099998,2013-12-04
-2.1355454545500003,2013-12-05
-1.91543548387,2013-12-06
-0.95096296296,2013-11-27
-2.15493695175,2013-12-03
-0.0700105820100001,2013-12-04
-2.563890301,2013-12-05
-2.1288139881,2013-12-06
-1.5223333333299998,2013-11-27
-1.43159183673,2013-12-03
-0.98359018759,2013-12-04
-1.110365282865,2013-12-05
-0.354055555556,2013-12-06
-0.687261904762,2013-11-27
-1.5663297896900001,2013-12-03
-0.38599252960999997,2013-12-04
-2.60235155441,2013-12-05
0.57362341124,2013-12-06
0.12806862213000025,2013-11-27
-5.3759999999999994,2013-12-03
0.8708999999999998,2013-12-04
-4.451779999999999,2013-12-05
11.0697695177,2013-12-06
-1.42,2013-11-27
-2.501688037892,2013-12-03
-1.17245790475,2013-12-04
-4.79848310431,2013-12-05
-0.9913148881300002,2013-12-06
-1.68525705467,2013-11-27
-1.875679522673,2013-12-03
-1.291348196248,2013-12-04
-0.742642355176,2013-12-05
0.4885223576940001,2013-12-06
-0.5103548644339999,2013-11-27
-0.02,2013-12-03
0.1,2013-12-04
-0.11,2013-12-05
0.115,2013-12-06
0,2013-11-27
-1.23489367472,2013-12-03
-0.48289023647,2013-12-04
-2.0441348001710002,2013-12-05
-0.77305943827,2013-12-06
-0.5961017740429999,2013-11-27
-2.46191353625,2013-12-03
-2.435,2013-12-04
0.37,2013-12-05
1.78,2013-12-06
0.4148396246610001,2013-11-27
-1.083875595304,2013-12-03
-0.30051860744299996,2013-12-04
-1.827644946346,2013-12-05
-0.7395261165600001,2013-12-06
-0.8261684981699999,2013-11-27
-0.756865699737,2013-12-03
-0.638721388577,2013-12-04
-1.3497717201300001,2013-12-05
0.2540788281030001,2013-12-06
-1.40896671887,2013-11-27
-3.48586538063,2013-12-03
-8.78853318284,2013-12-04
-1.24397752047,2013-12-05
-5.928062697330001,2013-12-06
3.57616492063,2013-11-27
-0.47432169758599996,2013-12-03
-0.48,2013-12-04
-0.66,2013-12-05
1.83,2013-12-06
-1.8575,2013-11-27
-1.1691321508799999,2013-12-03
-2.6117721654999997,2013-12-04
-2.30922699905,2013-12-05
-0.285053221289,2013-12-06
-1.29884346282,2013-11-27
-0.06436462438099999,2013-12-03
-0.67704407474,2013-12-04
-1.520987808644,2013-12-05
0.5021312282000001,2013-12-06
-1.75907425489,2013-11-27
