word,valence,count,average_valence
access,13.438,12,1.11983333333333
account,16.66,16,1.04125
additional,1.33,6,0.221666666666667
adjusted,-0.92,5,-0.184
advertisement,1.03,5,0.206
advertising,0.4,6,0.0666666666666667
agency,10.22,4,2.555
ahead,-0.45,4,-0.1125
alerts,5.598,9,0.622
alpha,1.35,7,0.192857142857143
always,-0.45,4,-0.1125
amazon,18.668,7,2.66685714285714
america,9.59,5,1.918
american,11.13,6,1.855
analysis,-0.68,5,-0.136
android,1.13,9,0.125555555555556
apple,19.786,18,1.09922222222222
around,9.68,13,0.744615384615385
article,1.8,4,0.45
award,8.01,7,1.14428571428571
badge,24.296,4,6.074
based,6.308,13,0.485230769230769
better,-0.64,6,-0.106666666666667
billion,7.518,13,0.578307692307692
blogs,16.348,5,3.2696
bloomberg,2.638,16,0.164875
brand,9.82,4,2.455
brands,1.72,6,0.286666666666667
build,-0.16,5,-0.032
business,35.898,50,0.71796
businessweek,2.638,16,0.164875
capital,-0.88,6,-0.146666666666667
center,9.308,19,0.489894736842105
change,2,8,0.25
chief,7.68,7,1.09714285714286
china,4.53,11,0.411818181818182
cities,6.05,7,0.864285714285714
click,3.62,4,0.905
cloud,0.18,6,0.03
coffee,5.19,9,0.576666666666667
columns,16.348,5,3.2696
comes,7.59,4,1.8975
comment,13.718,10,1.3718
comments,44.832,29,1.54593103448276
companies,13.22,20,0.661
company,32.138,61,0.526852459016393
computer,0.4,6,0.0666666666666667
conference,1.69,6,0.281666666666667
consumer,5.71,10,0.571
consumers,2.21,4,0.5525
contact,11.98,28,0.427857142857143
content,11.05,11,1.00454545454545
continue,-0.45,4,-0.1125
continues,-0.49,6,-0.0816666666666667
contributor,5.38,7,0.768571428571429
could,16.74,21,0.797142857142857
current,0.22,5,0.044
customer,1.33,6,0.221666666666667
customers,6.3,4,1.575
daily,4.09,5,0.818
daytona,-0.9,6,-0.15
design,16.044,7,2.292
development,12.9,9,1.43333333333333
device,0.18,5,0.036
devices,3.208,11,0.291636363636364
different,-0.45,4,-0.1125
digital,3.63,4,0.9075
director,-1.422,5,-0.2844
display,0.37,4,0.0925
division,-0.64,5,-0.128
earnings,0.9,10,0.09
economic,0.22,4,0.055
education,14.56,11,1.32363636363636
email,9.416,18,0.523111111111111
employees,8.47,8,1.05875
energy,-1.532,18,-0.0851111111111111
enter,1.27,9,0.141111111111111
enterprise,0.09,4,0.0225
entertainment,16.9,11,1.53636363636364
equity,-0.54,6,-0.09
europe,-1.342,8,-0.16775
events,10.1,11,0.918181818181818
executive,3.17,7,0.452857142857143
expect,1.33,6,0.221666666666667
expected,4.88,8,0.61
experience,5.55,6,0.925
facebook,13.688,26,0.526461538461539
false,0.52,4,0.13
features,0.18,6,0.03
finance,-1.582,20,-0.0791
financial,7.49,11,0.680909090909091
first,14.39,19,0.757368421052632
florida,0.6,5,0.12
follow,13.39,20,0.6695
following,3.7,8,0.4625
forbes,1.92,5,0.384
forward,3.11,9,0.345555555555556
funds,4.17,8,0.52125
future,1.51,11,0.137272727272727
gallery,21.39,6,3.565
games,8.13,6,1.355
glass,-3.8,5,-0.76
global,2.7,7,0.385714285714286
going,-0.45,4,-0.1125
google,22.04,26,0.847692307692308
great,-0.64,5,-0.128
green,4.78,9,0.531111111111111
group,1.53,6,0.255
growth,1.35,7,0.192857142857143
health,0.24,8,0.03
height,0.4,6,0.0666666666666667
helpful,5.38,6,0.896666666666667
hotels,7.16,9,0.795555555555556
