uid,mdate,predicted_change,actual_change,ticker,company_name,difference,difference_percentage
"AAPL: 18 11 2013",2013-11-18,0.017405743115699757,-6.362,AAPL,Apple,-6.3794057431157,-365.5115416624504
"AAPL: 19 11 2013",2013-11-19,-1.21492956333,0.921,AAPL,Apple,2.13592956333,-1.3191417625732897
"AAPL: 20 11 2013",2013-11-20,0.767755725809,NULL,AAPL,Apple,NULL,NULL
"AMGN: 18 11 2013",2013-11-18,0.713774132311,1.05,AMGN,Amgen,0.3362258676890001,0.6797848879152381
"AMGN: 19 11 2013",2013-11-19,0.830657050554,-0.57,AMGN,Amgen,-1.400657050554,-0.6862037704006041
"AMGN: 20 11 2013",2013-11-20,0.704659734987,NULL,AMGN,Amgen,NULL,NULL
"AMZN: 18 11 2013",2013-11-18,2.1451914050200003,-2.99,AMZN,Amazon,-5.1351914050200005,-1.3938150194910572
"AMZN: 19 11 2013",2013-11-19,1.7475563527,-1.24,AMZN,Amazon,-2.9875563527,-0.7095622399152862
"AMZN: 20 11 2013",2013-11-20,0.527824307107,NULL,AMZN,Amazon,NULL,NULL
"BIIB: 18 11 2013",2013-11-18,3.6167774537300006,-3.82,BIIB,Brogen,-7.43677745373,-1.0561888445915895
"BIIB: 19 11 2013",2013-11-19,-0.16894958067700028,4.19,BIIB,Brogen,4.358949580677001,-0.04032209562696897
"BIIB: 20 11 2013",2013-11-20,0.440949660233,NULL,BIIB,Brogen,NULL,NULL
"BP: 18 11 2013",2013-11-18,0.709941067045,-0.26,BP,BP,-0.969941067045,-0.3662275815120859
"BP: 19 11 2013",2013-11-19,0.449913164835,0.03,BP,BP,-0.41991316483499996,0.06667953361845307
"BP: 20 11 2013",2013-11-20,0.441784237213,NULL,BP,BP,NULL,NULL
"DUK: 18 11 2013",2013-11-18,0.4430090413400001,-0.26,DUK,"Duke Energy",-0.7030090413400001,-0.5868954710575659
"DUK: 19 11 2013",2013-11-19,0.49517225885699995,-0.42,DUK,"Duke Energy",-0.9151722588569999,-0.8481896804346043
"DUK: 20 11 2013",2013-11-20,0.300504249483,NULL,DUK,"Duke Energy",NULL,NULL
